,state,x,y
0,jammu and kashmir,-139.0,243.0
1,himachal pradesh,-105.0,193.0
2,punjab,-138.0,169.0
3,uttarakhand,-67.0,157.0
4,haryana,-114.0,139.0
5,chandigarh,-106.0,178.0
6,delhi,-99.0,124.0
7,uttar pradesh,-63.0,101.0
8,rajasthan,-195.0,81.0
9,gujarat,-227.0,-2.0
10,maharashtra,-160.0,-79.0
11,madhya pradesh,-125.0,3.0
12,bihar,56.0,59.0
13,jharkhand,52.0,17.0
14,west bengal,100.0,10.0
15,odisha,30.0,-47.0
16,andhra pradesh,-71.0,-133.0
17,goa,-175.0,-153.0
18,karnataka,-148.0,-174.0
19,kerala,-149.0,-261.0
20,tamil nadu,-93.0,-245.0
21,lakshadweep,-240.0,-248.0
22,andaman and nicobar islands,191.0,-232.0
23,daman and diu,-236.0,-39.0
24,dadra and nagar haveli,-189.0,-55.0
25,sikkim,114.0,104.0
26,assam,163.0,82.0
27,meghalaya,155.0,59.0
28,arunachal pradesh,209.0,119.0
29,nagaland,236.0,74.0
30,manipur,223.0,47.0
31,mizoram,208.0,15.0
32,tripura,174.0,27.0
33,meghalaya,155.0,57.0
34,chhattisgarh,-20.0,-33.0
35,puducherry,-47.0,-242.0